Date,Pluckers,Field Wght,Factory W,Variance,Average,Rainfall,Running totals
9/1/2022,29,660,650,-10,23,0.0,650
9/2/2022,32,636,640,4,20,0.0,1290
9/3/2022,30,427,430,3,14,0.0,1720
9/4/2022,,,,,,0.0,
9/5/2022,27,492,490,-2,18,0.0,2210
9/6/2022,34,760,770,10,22,3.6,2980
9/7/2022,33,730,720,-10,22,2.0,3700
9/8/2022,33,678,675,-3,21,0.0,4375
9/9/2022,33,632,625,-7,19,0.0,5000
9/10/2022,33,1272,1270,-2,38,0.0,6270
9/11/2022,,,,,,0.0,
9/12/2022,32,974,990,16,30,0.0,7260
9/13/2022,,,,,,0.0,
9/14/2022,35,1673,1660,-13,48,0.0,8920
9/15/2022,35,1360,1360,,39,0.0,10280
9/16/2022,33,920,910,-10,28,0.0,11190
9/17/2022,34,651,635,-16,19,0.0,11825
9/18/2022,,,,,,0.0,
9/19/2022,34,1110,1110,,33,0.0,12935
9/20/2022,35,1143,1145,2,33,0.0,14080
9/21/2022,35,1225,1220,-5,35,0.0,15300
9/22/2022,35,1735,1720,-15,50,0.0,17020
9/23/2022,36,1902,1895,-7,53,0.0,18915
9/24/2022,36,1070,1075,5,30,0.0,19990
9/25/2022,,,,,,0.0,
9/26/2022,36,1160,1170,10,33,0.0,21160
9/27/2022,35,1430,1420,-10,41,0.0,22580
9/28/2022,37,1195,1200,5,32,0.0,23780
9/29/2022,38,1440,1440,,38,0.0,25220
9/30/2022,38,1642,1640,-2,43,0.0,26560
Total,848,26917,26860,-57,32,"
 53.2",5.6
,,,,,,,
,,,,,,,
,,,,,,,
Date,Pluckers,Field Wght,Factory W,Variance,Average,Rainfall,Running totals
1/10/2022,38,1363,1365,2,36,0,1365.0
,,,,,,,
3/10/2022,37,1282,1280,2,35,0,2645.0
4/10/2022,36,726,710,16,20,0,3355.0
5/10/2022,36,1716,1700,16,47,0,5055.0
6/10/2022,37,1743,1725,18,47,0,6780.0
7/10/2022,35,1115,1100,15,32,0,7880.0
8/10/2022,34,967,965,2,28,0,8845.0
9/10/2022,0,0,0,0,0,0,0.0
10/10/2022,0,0,0,0,0,0,0.0
11/10/2022,34,1218,1220,2,36,0,10065.0
12/10/2022,35,1118,1120,2,32,0,11185.0
