
Date,Pluckers,Field Wght,Factory W,Variance,Average,Rainfall,Running totals
1/1/2024,,,,,,9.1,
1/2/2024,47,"4057, 289",4605,59,97,4.3,"2475, 2130"
,,,,,,,
1/3/2024,47,"398, 352",3770,86,78,0,8375
1/4/2024,47,4191,4270,79,89,3.4,12645
1/5/2024,46,"284, 521",3360,22,73,7.9,15945
1/6/2024,Weeding block 10 & 5,,,,,20.4,
1/7/2024,,,,,,0,
1/8/2024,49,"583, 312, 812",3285,34,66,0,"5120, 2865"
1/9/2024,61,"915, 343, 2149",3560,103,57,0,"2370, 1190"
1/10/2024,62,"332, 1610, 1871",3920,106,62,7.2,26710
1/11/2024,64,"487, 1470, 1849",3890,84,59,2.1,30600
1/12/2024,58,"1425, 186",1680,7,29,15.6,32280
1/13/2024,61,"2314, 555",2850,19,47,4.6,35130
1/14/2024,,,,,,,
1/15/2024,65,"447, 2801",3375,127,50,0,"1965, 2311"
1/16/2024,61,"512, 1407, 1563",3610,128,57,3.2,42115
1/17/2024,62,"1350, 1792",3210,68,51,0,45325
1/18/2024,60,2722,2790,68,47,0,48115
1/19/2024,54,"2100, 423",2570,47,47,0,50685
1/20/2024,54,2290,2430,140,42,11,53115
1/21/2024,,,,,,,
1/22/2024,56,"2299, 363",2750,88,48,0,55865
1/23/2024,56,"2126, 404",2610,82,45,0,58475
1/24/2024,58,"2880, 551",2900,69,49,0,61375
1/25/2024,59,"2263, 228",2550,59,42,1,63925
1/26/2024,56,"1306, 1062, 1188",2635,79,46,0,"1425, 1210"
1/27/2024,53,"1608, 242",1870,20,35,0,68430
1/28/2024,,,,,,0,
1/29/2024,59,"1427, 986, 297",2765,55,46,0,"1165, 1600"
1/30/2024,59,"1603, 662",2150,55,36,0,"6,901,460"
1/31/2024,58,"329, 930",2590,88,43,0,75995
,,,,,,,
Date,Pluckers,Field Wght,Factory W,Variance,Average,Rainfall,Running totals
1.3.2024,50,"1701,344,60",2130,25,42,0,2130
2.3.2024,50,"1513, 231",1775,31,35,0,3905
3.3.2024,,,,,,0,
4.3.2024,52,"2248, 391",2675,36,51,0,6580
5.3.2024,51,"805, 1285, 85",2205,30,43,2.4,8785
6.3.2024,51,"756, 1640",2440,44,47,0,11225
7.3.2024,51,1662,1700,38,33,0,12925
8.3.2024,53,"406, 1538",1980,36,37,10.2,14905
9.3.2024,48,1960,1970,10,41,0,16875
10.3.2024,,,,,,0,
11.3.2024,51,"2475, 266",2790,49,54,0,19665
12.3.2024,52,"2224, 396",2660,40,50,0,22325
13.3.2024,53,"506, 1725, 411",2690,48,50,4.3,25015
14.3.2024,54,"687, 1700, 920",3380,73,61,0,28395
15.3.2024,54,414,2185,38,40,0,30580
16.3.2024,54,"1625, 287",1970,58,35,0,32550
17.3.2024,,,,,,,
18.3.2024,53,2084,2115,31,39,0,34665
19.3.2024,53,1645,1715,70,31,0,36380
20.3.2024,48,2004,2040,36,42,,38420
21.3.2024,38,"196, 1151",1350,3,35,0,39770
22.3.2024,46,"164, 1100",1290,22,28,0,41060
23.3.2024,44,"144, 928",1095,23,25,0,42155
24.3.2024,,,,,,12.4,
25.3.2024,44,"185, 882, 817",1935,51,43,0,44090
26.3.2024,46,"330, 1751",2110,29,45,0,46200
27.3.2024,46,"319, 1271",1620,30,35,2.2,47820
28.3.2024,42,"1480, 1471",1970,19,46,0,49790
29.3.2024,,,,,,12.4,
30.3.2024,46,"1438, 284",1770,48,37,4.5,51560
31.3.2024,,,,,,0,
TOTAL,1229,50642,51560,918,41,48.4,51560
,,,,,,,
,,,,,,,
Date,Pluckers,FACTORY WEIGHT,Variance,Average,RAINFALL,Running Totals,
1/7/2024,44,1530,24,34,0,,
2/7/2024,43,1050,21,24,0,,
3/7/2024,43,1160,70,25,0,,
4/7/2024,45,1020,61,21,0,,
5/7/2024,41,960,30,23,0,,
6/7/2024,36,1130,14,31,20.4,,
7/7/2024,,,,,8.8,,
8/7/2024,42,1650,37,38,6.3,,
9/7/2024,43,1460,41,33,1.9,,
10/7/2024,44,1670,25,37,0,,
11/7/2024,43,1070,26,24,0,,
12/7/2024,43,1080,35,24,0,,
13/7/2024,36,820,44,22,0,,
17.07.2024,41,1723,1770,47,0,20340,
18.07.2024,40,1883,1920,37,0,22260,
19.07.2024,38,1024,1030,6,0,23290,
20.07.2024,37,798,845,47,0,24135,
21.07.2024,-,-,-,-,0,-,
22.07.2024,39,1045,1070,25,0,25205,
23.07.2024,39,1084,1120,36,0,26325,
24.07.2024,38,992,1000,8,0,27325,
25.07.2024,36,1323,1350,27,0,28675,
26.07.2024,38,1153,1160,7,21.3,29835,
27.07.2024,38,1666,1710,44,0,31545,
28.07.2024,-,-,-,-,0,-,
29.07.2024,39,1696,1730,34,9.1,33275,
30.07.2024,40,1598,1630,32,3,34905,
31.07.2024,41,1587,1640,53,6,36545,
TOTAL,1089,35629,36545,916,74.1,36545,
Date,Pluckers,Field Wght,Factory W,Variance,Average,Rainfall,Running totals
4.10.2024,,,,,,,
5.10.2024,,,,,,,
6.10.2024,,,,,,,
7.10.2024,42,"15,107,477",2480,22,59,0,9250
8.10.2024,42,2461,2490,24,59,0,11740
9.10.2024,42,"11,761,149",2335,10,55,0,14075
10.10.1024,42,1872,1960,88,45,0,16035
11.10.2024,40,"1,952,104",2145,89,51,0,18180
12.10.2024,37,"40,323,54,831",1280,32,34,0,19460
13.10.2024,_,_,,_,_,0,_
14.10.2024,40,"1354,25",1460,20,36,0,20920
,,,,,,,
,,,,,,,
Date,Pluckers,Factory W,Variance,Average,Rainfall,,
1.09.2024,,,,,0,,
2.09.2024,39,1920,37,48,0,,
3.09.2024,38,Rejected,,61,2,,
4.09.2024,39,1370,4,35,3.1,,
5.09.2024,34,1070,-4,32,0,,
6.09.2024,37,1310,34,34,0,,
7.09.2024,37,1280,25,34,0,,
8.09.2024,,,,,0,,
9.09.2024,36,1310,25,36,0,,
10.09.2024,42,1850,72,42,0,,
11.09.2024,43,2110,77,47,0,,
12.09.2024,41,2055,56,49,0,,
13.09.2024,42,1555,19,37,0,,
14.09.2024,42,1970,48,46,0,,
15.09.2024,,,,,,,
16.09.2024,,,,,,,
17.09.2024,,,,,,,
18.09.2024,,,,,,,
19.09.2024,42,1690,40,39,0,,
20.09.2024,41,1810,37,43,0,,
21.09.2024,41,1475,41,35,0,,
22.09.2024,,,,,0,,
23.09.2024,41,1800,27,43,0,,
24.09.2024,40,1340,20,33,0,,
25.09.2024,40,1610,23,40,0,,
26.09.2024,40,1385,28,34,0,,
27.09.2024,41,1270,37,30,0,,
28.09.2024,41,1295,2,32,0,,
29.09.2024,,,,,7.8,,
30.09.2024,38,1460,33,38,19.2,,
,,,,,,,
Date,Pluckers,Factory W,Variance,Average,Rainfall,,
01.12.2024,-,-,-,-,13,,
02.12.2024,34,1970,31,57,9,,
03.12.2024,38,2745,21,72,0,,
04.12.2024,36,1630,58,44,0,,
05.12.2024,35,1205,7,34,0,,
06.12.2024,37,2720,16,73,0,,
07.12.2024,35,1900,4,54,0,,
08.12.2024,-,-,-,-,0,,
09.12.2024,36,3055,26,84,0,,
10.12.2024,36,2365,22,65,0,,
11.12.2024,35,2075,27,59,0,,
12.12.2024,-,-,-,-,0,,
13.12.2024,37,2770,26,74,0,,
14.12.2024,37,2760,24,74,0,,
15.12.2024,-,-,-,-,-,,
16.12.2024,30,2960,42,75,0,,
17.12.2024,39,2480,63,62,0,,
18.12.2024,35,1980,66,55,3.2,,
19.12.2024,38,3330,52,86,41.2,,
20.12.2024,39,2690,190,64,2.3,,
21.12.2024,40,3520,81,86,16,,
22.12.2024,-,-,-,-,0,,
23.12.2024,42,3790,57,89,0,,
