Date,Pluckers,Field Wght,Factory W,Variance,Average,Rainfall,Running totals
1.01.2025,-,-,-,-,-,0,-
2.01.2025,38,3370,3510,140,92,0,3510
3.01.2025,39,2852,2980,128,73,0,6490
4.01.2025,38,3457,3680,223,91,0,10170
5.01.2025,-,-,-,-,-,0,-
6.01.2025,38,3029,3040,11,80,0,13210
7.01.2025,40,3060,3080,20,77,0,16290
8.01.2025,40,4016,4030,14,100,0,20320
9.01.2025,41,3097,3100,3,76,0,23420
10.01.2025,38,1554,1570,16,41,0,24990
11.01.2025,41,3358,3370,12,82,0,28360
12.01.2025,32,1089,-,-,-,0,-
13.01.2025,41,3354,2370,16,57,0,30730
14.01.2025,41,2706,2660,-46,66,0,33390
15.01.2025,41,2670,2700,30,65,0,36090
16.01.2025,41,2540,2590,15,63,0,38690
17.01.2025,40,1934,1960,26,48,0,40640
18.01.2025,38,1009,1040,31,27,0,41680
19.01.2025,-,-,-,-,-,-,-
20.01.2025,36,1809,1820,11,50,0,43500
21.01.2025,33,1608,1630,22,49,0,45130
