Date,Pluckers,Field Wght,Factory W,Variance,Average,Rainfall,Running totals
13.05.2019,27,847,950,103,35,6.9,950
14.05.2019,27,889,970,36,81,0,1920
15.05.2019,15,521,570,49,38,0,2490
16.05.2019,15,314,360,26,24,0,69
17.05.2019,-,-,-,-,-,0,-
18.05.2019,-,-,-,-,-,0,-
19.05.2019,-,-,-,-,-,0,-
20.05.2019,-,-,-,-,-,0,-
21.05.2019,-,-,-,-,-,0,-
22.05.2019,-,-,-,-,-,0,-
23.05.2019,10,-,-,-,-,10,945
24.05.2019,-,-,-,-,-,0,-
25.05.2019,-,-,-,-,-,0,-
26.05.2019,-,-,-,-,-,0,-
27.05.2019,31,1234,1330,96,43,0,4180
28.05.2019,31,2018,2100,82,68,0,6280
29.05.2019,34,2005,2070,65,61,0,8350
30.05.2019,30,1773,1870,97,62,0,10220
31.05.2019,18,199,1260,61,70,0,11480
,,,,,,,
,,,,,,,
,,,,,,,
Date,Pluckers,Field Wght,Factory W,Variance,Average,Rainfall,Running totals
3/6/2019,57,3835,416,325,73,300,4160
4/6/2019,52,2567,2770,203,53,7.1,69360
5/6/2019,48,100,,,,6.1,100
6/6/2019,27,826,910,84,34,0,7840
,26,48,,,,,148
10/6/2019,13,588,640,52,49,0,8480
11/6/2019,39,2219,2370,151,61,1.8,10850
12/6/2019,40,2763,2910,147,73,0,13760
13/6/2019,36,2919,3060,141,85,0,16820
14/6/2019,39,3046,3320,274,85,0,20140
15/6/2019,38,3193,3460,267,91,0,23600
17/6/2019,48,2234,2630,396,55,0,26320
18/6/2019,17,764,820,56,48,0,27050
19/6/2019,26,698,780,91,30,0,27830
20/6/2019,46,2386,2630,244,57,0,30460
21/6/2019,46,56,12,,,0,320
22/6/2019,36,1972,2100,128,58,1.9,32560
24/6/2019,27,1328,1400,72,52,0,33960
25/6/2019,33,1630,1740,110,53,1,35680
26/6/2019,38,1483,1640,157,43,0,37320
27/6/2019,36,1800,1950,150,54,1,39270
28/6/2019,33,1043,1150,107,35,0,40420
29/6/2019,39,1284,1450,166,37,0,41870
30/6/2019,31,55,,,,0,375
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Date,Pluckers,Field Wght,Factory W,Variance,Average,Rainfall,Running totals
1.07.2019,-,-,-,-,-,0,-
2.07.2019,-,-,-,-,-,0,-
3.07.2019,45,1386,1570,184,35,0,1570
4.07.2019,37,1511,1480,-31,40,0,3050
5.07.2019,36,970,1090,120,30,0,4140
6.07.2019,36,1102,1200,98,33,0,5340
7.07.2019,-,-,-,-,-,0,-
8.07.2019,32,1205,1330,125,42,0,6670
9.07.2019,30,969,1070,101,36,0,7740
10.07.2019,29,1304,1400,96,48,0,9140
11.07.2019,31,1017,1130,113,36,0,10270
12.07.2019,33,1169,1300,131,39,0,11570
13.07.2019,31,1283,1410,127,45,0,12980
14.07.2019,-,-,-,-,-,0,-
15.07.2019,36,1868,2000,132,56,0,14980
16.07.2019,34,2312,2460,148,72,0,17440
17.07.2019,32,1738,1830,92,57,0,19270
18.07.2019,23,614,680,66,30,0,19950
19.07.2019,29,873,950,77,33,0,20900
20.07.2019,30,533,620,87,21,0,21520
21.07.2019,-,-,-,-,-,0,-
22.07.2019,28,779,890,111,32,0,22410
23.07.2019,30,859,960,101,32,0,23370
24.07.2019,30,636,750,114,25,0,24120
25.07.2019,-,-,-,-,-,-,-
26.07.2019,29,645,760,115,26,0,24880
27.07.2019,22,312,340,28,15,0,2522
28.07.2019,-,-,-,-,-,0,-
29.07.2019,32,559,670,11,21,0,25890
30.07.2019,34,606,730,124,21,3,26620
31.07.2019,26,774,840,66,32,6,27460
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Date,Pluckers,Field Wght,Factory W,Variance,Average,Rainfall,Running totals
1/8/2019,28,1056,1140,84,41,0,1140
2/8/2019,30,809,910,101,30,0,2050
5/8/2019,15,8,0,0,0,0,428
6/8/2019,36,930,1080,150,30,0,3130
7/8/2019,32,817,900,83,28,1.7,4030
8/8/2019,31,634,700,66,23,0,4730
9/8/2019,26,883,970,87,37,0,5700
10/8/2019,26,727,850,123,27,0,6550
13/8/2019,46,1113,1290,177,28,0,7840
14/8/2019,38,809,940,131,25,0,8780
15/8/2019,45,2293,2400,107,53,0,11180
16/8/2019,49,1769,1970,262,40,0,13150
17/8/2019,37,580,730,150,18,0,13880
19/8/2019,47,1614,1770,156,38,0,15650
20/8/2019,39,881,1030,149,26,0,16680
21/8/2019,35,519,620,101,18,0,17300
22/8/2019,37,987,1100,113,30,0,18400
23/8/2019,38,1134,1250,116,33,0,19650
24/8/2019,25,746,830,84,33,1,20480
26/8/2019,45,932,1090,158,24,0,21570
27/8/2019,43,1171,1200,29,28,0,22770
28/8/2019,46,1598,1810,212,39,26,24580
31/8/2019,42,716,860,144,20,14,28940
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Date,Pluckers,Field Wght,Factory W,Variance,Average,Rainfall,Running totals
1.09.2019,-,-,-,-,-,1.3,-
2.09.2019,39,2107,2335,228,60,0,2335
3.09.2019,50,1871,2070,199,41,0,4405
4.09.2019,33,1128,1250,122,38,0,5655
5.09.2019,32,1633,1750,133,47,0,7405
6.09.2019,49,1617,1825,208,37,0,9230
7.09.2019,48,1353,1560,207,33,1,10790
8.09.2019,-,-,-,-,-,0,-
9.09.2019,46,1336,1480,144,32,0,12270
10.09.2019,36,1837,2000,163,55,3,14270
11.09.2019,41,1935,2085,150,51,0,16355
12.09.2019,50,1637,1845,208,37,0,18200
13.09.2019,38,1068,1190,122,31,0,19390
14.09.2019,34,1032,1150,118,34,0,20540
15.09.2019,-,-,-,-,-,0,-
16.09.2019,42,1855,2015,160,48,0,22555
17.09.2019,50,1951,2140,184,43,0,24695
18.09.2019,44,924,1105,181,22,6,25800
19.09.2019,49,1362,1590,228,32,0,27390
20.09.2019,42,1276,1480,204,35,0,28870
21.09.2019,40,1062,1160,98,29,0,30030
22.09.2019,-,-,-,-,-,0,-
23.09.2019,47,1292,1490,198,32,0,31520
24.09.2019,53,1595,1830,235,35,0,33350
25.09.2019,45,1185,1355,170,30,0,34705
26.09.2019,52,2565,2720,155,52,26.4,37425
27.09.2019,54,2752,2950,198,55,0,40375
28.09.2019,49,2135,2330,195,47,0,42705
29.09.2019,-,-,-,-,-,0,-
30.09.2019,56,2345,2610,265,47,0,45315
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Date,Pluckers,Field Wght,Factory W,Variance,Average,Rainfall,Running totals
1/10/2019,44,2453,2800,347,64,0,2800
2/10/2019,46,1751,1965,214,43,1.8,4765
3/10/2019,46,1713,1950,237,42,1,6715
4/10/2019,36,1178,1320,147,37,2,8035
5/10/2019,31,964,1095,131,35,0,9130
6/10/2019,0,,0,0,0,7.1,0
7/10/2019,41,1497,1680,183,41,0,10810
8/10/2019,43,1860,2015,155,47,0,12825
9/10/2019,47,2097,2280,183,49,5.1,15105
10/10/2019,38,2248,2420,172,0,12.2,17525
11/10/2019,41,2118,2320,202,12,57,19845
12/10/2019,42,1855,2050,195,49,4,21895
13/10/2019,0,,0,0,0,7,0
14/10/2019,30,1441,1640,199,55,1,23535
15/10/2019,39,1938,2100,162,54,1.8,25635
16/10/2019,31,1565,1710,145,55,1,27345
17/10/2019,48,2213,2410,197,50,12.8,29755
18/10/2019,49,1992,2220,228,45,46.2,31975
19/10/2019,21,1070,1190,111,57,2.8,33165
20/10/2019,0,0,0,0,0,1.3,0
21/10/2019,36,2112,2285,173,63,6,35450
22/20/2019,44,3018,3355,337,76,5.8,38805
23/10/2019,0,1918,2075,157,0,11.8,40880
24/10/2019,44,2087,2250,163,51,0,43130
25/10/2019,41,2034,2245,211,55,2.8,45375
26/10/2019,44,1737,1890,153,43,7.4,47265
28/10/2019,44,2981,3195,214,73,7.6,50460
29/10/2019,41,2038,2215,177,54,4,52675
30/10/2019,50,3319,3640,321,73,2,56315
31/10/2019,59,4285,4715,430,80,0,61030
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Date,Pluckers,Field Wght,Factory W,Variance,Average,Rainfall,Running totals
1.11.2019,51,1866,2080,214,41,0,2080
2.11.2019,50,1496,1715,219,34,1,3795
3.11.2019,-,-,-,-,-,13.6,-
4.11.2019,45,1886,2050,164,46,0,5845
5.11.2019,45,1568,1750,182,39,0,7595
6.11.2019,50,1619,1780,161,36,0,9375
7.11.2019,49,1426,1735,309,29,0,11110
8.11.2019,45,1471,1625,214,0,32,1279
9.11.2019,40,1773,1940,167,48,0,14735
10.11.2019,-,-,-,-,-,-,-
11.11.2019,42,2573,2940,367,70,2.6,17675
12.11.2019,52,3294,3653,361,70,11.8,21330
13.11.2019,49,3181,356,379,73,7,24890
14.11.2019,44,3652,3985,333,91,2.6,28875
15.11.2019,42,3533,3855,322,92,0,32730
16.11.2019,40,2200,2350,150,59,0,35080
17.11.2019,-,-,-,-,-,0,-
18.11.2019,42,1810,1970,160,47,0,37050
19.11.2019,52,2094,2290,194,44,5.6,39340
